FG,Length,Weight,Mature,alfa,beta,AgeClass,,,,,,,
OCT,50,723,TRUE,,,1,,,,,,,
SCR,12,618,TRUE,,,1,,,,,,,
BFF,40,100,TRUE,,,1,,,,,,,
BCA,10,189.925,TRUE,,,1,,,,,,,
MOL,10,280,TRUE,,,1,,,,,,,
ANG,6.1422887253,,FALSE,0.00470168,2.83452053,4,,,,,,,
ANG,30.3696690631,,FALSE,0.00470168,2.83452053,4,,,,,,,
ANG,51.0148807408,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,68.6075696439,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,83.5990702238,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,96.3739843303,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,107.2600480408,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,116.5365396179,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,124.4414442988,,TRUE,0.00470168,2.83452053,4,,,,,,,
ANG,131.1775597249,,TRUE,0.00470168,2.83452053,4,,,,,,,
BRC,20.1807011637,,FALSE,0.0083931,3.14636532,2,,,,,,,
BRC,24.072938637,,FALSE,0.0083931,3.14636532,2,,,,,,,
BRC,27.9651761102,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,31.741971052,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,35.6097355066,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,39.8359074669,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,44.1344086372,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,47.5120444424,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,50.5643412234,,TRUE,0.0083931,3.14636532,2,,,,,,,
BRC,53.6166380044,,TRUE,0.0083931,3.14636532,2,,,,,,,
LBF,50.53380546,,FALSE,0.00023791,3.89821853,3,,,,,,,
LBF,56.1621981965,,FALSE,0.00023791,3.89821853,3,,,,,,,
LBF,62.7005443339,,FALSE,0.00023791,3.89821853,3,,,,,,,
LBF,67.4679401545,,TRUE,0.00023791,3.89821853,3,,,,,,,
LBF,72.8489131825,,TRUE,0.00023791,3.89821853,3,,,,,,,
LBF,80.847524551,,TRUE,0.00023791,3.89821853,3,,,,,,,
LBF,86.9564992662,,TRUE,0.00023791,3.89821853,3,,,,,,,
LBF,90.6552258613,,TRUE,0.00023791,3.89821853,3,,,,,,,
LBF,96.0244199026,,TRUE,0.00023791,3.89821853,3,,,,,,,
